pt_root_id,Area Membership
864691135975516015,V1
864691136009494958,V1
864691135051460683,V1
864691136436952222,V1
864691135645354479,V1
864691135645354479,V1
864691134989526650,V1
864691135772593227,V1
864691136273807550,V1
864691135468467852,V1
864691135468467852,V1
864691136741444444,V1
864691135561461473,V1
864691135884824944,V1
864691135884824944,V1
864691135737641860,V1
864691135100414496,V1
864691135100414496,V1
864691135065886020,V1
864691136281922711,V1
864691135864756700,V1
864691135889555849,V1
864691135334962921,V1
864691135693707455,V1
864691136379307477,V1
864691136481342436,V1
864691135841699299,V1
864691136085014636,V1
864691135754758349,V1
864691135754758349,V1
864691136116670628,V1
864691135837796499,V1
864691135701176699,V1
864691135701176699,V1
864691135909751977,V1
864691135257003439,V1
864691135848482398,V1
864691136601595857,V1
864691135926537998,V1
864691136951622111,V1
864691135182756610,V1
864691135584763000,V1
864691135584763000,V1
864691136040281598,V1
864691135208425593,V1
864691135762426166,V1
864691135383759595,V1
864691135502517826,V1
864691135502517826,V1
864691135759389006,V1
864691137020554094,V1
864691135919322800,V1
864691135952850467,V1
864691135645452527,V1
864691135741186411,RL
864691135952235811,V1
864691135754054861,V1
864691136391264383,V1
864691136091348148,V1
864691135342106289,V1
864691136371683976,V1
864691136210052028,V1
864691135730949561,V1
864691137020429934,V1
864691137020429934,V1
864691135616603241,V1
864691136137411709,V1
864691136137411709,V1
864691135013336054,V1
864691135013336054,V1
864691135610582791,V1
864691136275130125,V1
864691136966932942,V1
864691137198176577,V1
864691135082847991,V1
864691136813003492,V1
864691135591168267,V1
864691135517195219,V1
864691135576456990,V1
864691135776643936,V1
864691135700879995,V1
864691135386196565,V1
864691135386196565,V1
864691135256996015,V1
864691135256996015,V1
864691135684838327,V1
864691135755404498,V1
864691135516483795,V1
864691135516483795,V1
864691136724459773,V1
864691134989347962,V1
864691134989347962,V1
864691135213976632,V1
864691135213976632,V1
864691135213976632,V1
864691135303746727,V1
864691135969765733,V1
864691136444457603,V1
864691136389410320,V1
864691136389170295,V1
864691135841898211,V1
864691135778037181,RL
864691136124463142,V1
864691135761545270,V1
864691135293853452,V1
864691136371664264,V1
864691136379814101,V1
864691136379814101,V1
864691135135661593,V1
864691135586089596,V1
864691136578060820,V1
864691135082286839,V1
864691135374121545,V1
864691135989332224,V1
864691135469312338,V1
864691136912916977,V1
864691136912916977,V1
864691136106775001,V1
864691135927032590,V1
864691135927032590,V1
864691135639893051,V1
864691135865680860,V1
864691136274756109,V1
864691135838058899,V1
864691135113715353,V1
864691135940506369,V1
864691135940506369,V1
864691135701566331,V1
864691135576170782,V1
864691135576170782,V1
864691136021510136,V1
864691135864571006,V1
864691135864571006,V1
864691135927384020,V1
864691135591355659,V1
864691135591355659,V1
864691137020443758,V1
864691137020443758,V1
864691135910899113,V1
864691134964449311,V1
864691134964449311,V1
864691136008724652,V1
864691135808304669,V1
864691135367978489,V1
864691136437135006,V1
864691135884596592,V1
864691135884596592,V1
864691135359541080,V1
864691135408042185,V1
864691135701350267,V1
864691135866558085,V1
864691136090011703,V1
864691135349166039,V1
864691135292802230,V1
864691135123101735,V1
864691136117082020,V1
864691135560492001,V1
864691135565583639,V1
864691136617668315,V1
864691136617668315,V1
864691135749105961,V1
